# Thu Jun  8 18:04:56 2017
#simulation with:
#SEED 17
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.015
#P_s 0.15
#dim 3
#time 500
#memorySize 1
ag1,ag2,time,weight,type
125,133,182,0.8554544170406619,a
183,1,182,0.6898216542892263,a
119,76,182,0.8520644028581177,a
64,99,182,0.5536867621835186,r
51,103,182,0.6104199180788284,r
171,160,182,0.5062655018809767,r
140,112,182,0.9583321102716647,r
150,62,182,0.7605526906208459,r
138,6,183,0.8454788842094694,a
116,146,183,0.9919616390370001,a
190,82,183,0.9869617848186978,r
143,186,183,0.5990355215023921,r
194,128,183,0.5048558236736578,r
140,66,183,0.7925490884756148,r
200,113,184,0.6781861828573121,a
29,12,184,0.5941882437044208,a
66,109,184,0.4758337253465256,a
94,182,184,0.9279101347693879,a
27,27,184,0.3480377884127849,r
130,72,184,0.5884952859579908,r
34,69,184,0.7781975584004944,r
90,18,184,0.897859506545394,r
189,34,184,0.8560064347354823,r
170,92,184,0.8833803227148114,r
157,44,184,0.9143430562979746,r
160,37,185,0.3661305327977467,a
134,198,185,0.7677234292554151,a
19,152,185,0.34375337481852497,a
96,169,185,0.42606389652017396,a
119,116,185,0.6434534801115233,a
64,36,185,0.6948672039646888,a
81,167,185,0.6581841599254517,a
168,47,185,0.44780707605868364,r
164,1,185,0.8050673140937052,r
165,63,185,0.4091903114750901,r
97,196,185,0.9656941220718107,r
137,173,185,0.7388926390419914,r
196,10,185,0.6311896426756877,r
23,105,185,0.34067470611172196,r
201,165,186,0.8439208685786028,a
158,148,186,0.39302192836854527,a
30,19,186,0.4422538105794428,a
52,159,186,0.7586367122859559,a
142,141,186,0.601428260519187,a
183,92,186,0.7333510401778464,a
184,147,186,0.4137062467801876,a
197,67,186,0.8457160187139439,r
143,157,186,0.37947075170715805,r
97,173,186,0.6774861989500552,r
174,93,186,0.49603141032010545,r
35,158,187,0.7083166463505728,a
94,179,187,0.5417856623836775,a
116,22,187,0.664317385733733,a
34,11,187,0.8765196416751693,a
3,196,187,0.6555166365679176,a
37,160,187,0.3661305327977467,r
13,29,187,0.47421647761260644,r
164,168,187,0.44060022500326324,r
200,124,187,0.5966007405184807,r
7,4,187,0.9618885580069074,r
71,80,188,0.7088714961968806,a
88,95,188,0.3377869241299059,a
101,129,188,0.9861754445439639,a
169,99,188,0.3768942273300012,a
44,52,188,0.43942956194513283,a
197,156,188,0.8016567912525923,a
63,159,188,0.7274197552274029,a
86,93,188,0.4737006024167092,a
200,197,188,0.5816855085270599,r
170,116,188,0.4835601089908719,r
103,43,188,0.4493979979002086,r
63,17,188,0.7131390281470427,r
44,173,188,0.5927065054604194,r
97,100,188,0.8559816609997,r
61,34,188,0.7347152850739473,r
104,102,189,0.9939416744465823,a
18,153,189,0.4046686442406849,a
49,68,189,0.8539128811255421,r
130,111,189,0.8655430562639148,r
126,20,189,0.375207072529321,r
176,133,189,0.9773266312969004,r
82,70,189,0.7283540626687341,r
68,37,189,0.8940615315295928,r
156,157,190,0.8665318368937946,a
102,166,190,0.39922581172487537,a
60,151,190,0.802029197727762,a
174,160,190,0.6830772875580553,a
13,142,190,0.4796356353545976,r
175,67,190,0.8286272295852288,r
96,169,190,0.42606389652017396,r
132,127,190,0.621015521006107,r
21,134,191,0.6323453880771022,a
11,72,191,0.42402266086476265,a
93,55,191,0.5746750148004398,a
59,125,191,0.4594872343123736,a
65,104,191,0.8398539941103182,r
56,63,191,0.9472429567152285,r
45,118,191,0.6968589275677473,r
20,164,191,0.7584750503432616,r
48,10,191,0.9430638906367232,r
95,1,191,0.8399565029904814,r
67,65,192,0.9024126426974439,a
136,2,192,0.8016662262381935,a
182,7,192,0.529365785114541,a
80,2,192,0.32784006194857745,a
59,67,192,0.31800885448895877,a
94,19,192,0.33951596532068273,a
58,69,192,0.32442230536937344,r
31,69,192,0.40463812717647935,r
73,26,192,0.7414796538785523,r
151,60,192,0.802029197727762,r
133,125,192,0.8554544170406619,r
80,13,193,0.9013177619784556,a
140,59,193,0.5720764035374637,a
116,194,193,0.6381186399584962,a
122,66,193,0.8320528930695592,a
190,129,193,0.8169132093098903,a
28,60,193,0.5557222808209814,a
202,172,193,0.996415412559835,a
20,57,193,0.8923419165876518,a
145,195,193,0.7049729467163135,a
128,113,193,0.9488858515559486,a
10,155,193,0.5296768821892506,a
102,166,193,0.39922581172487537,r
42,96,193,0.4662632520513416,r
90,116,193,0.6028263113854933,r
202,24,193,0.48113623674870587,r
146,116,193,0.9919616390370001,r
62,53,193,0.601441721419279,r
164,107,193,0.333558884379411,r
3,196,193,0.6555166365679176,r
71,58,193,0.7031953117516727,r
141,142,193,0.601428260519187,r
66,122,193,0.8320528930695592,r
101,129,193,0.9861754445439639,r
103,137,194,0.5202570648390029,a
73,96,194,0.7141719907628021,a
37,57,194,0.823522193141093,a
